model_id,gpus,gpu (GB),model (GB),tp recommend
xverse/XVERSE-65B-Chat,3,191.984375,124.32052040100098,1
BAAI/bge-base-en-v1.5,3,191.984375,0.20393037796020508,1
BAAI/bge-multilingual-gemma2,3,191.984375,17.21404218673706,1
intfloat/e5-mistral-7b-instruct,3,191.984375,13.244640350341797,1
ssmits/Qwen2-7B-Instruct-embed-base,3,191.984375,13.170057892799377,1
Alibaba-NLP/gte-Qwen2-7B-instruct,3,191.984375,15.929613590240479,1
sentence-transformers/all-roberta-large-v1,3,191.984375,0.6619129329919815,1
intfloat/multilingual-e5-large,3,191.984375,1.0428810268640518,1
internlm/internlm2-1_8b-reward,3,191.984375,3.1657209396362305,1
internlm/internlm2-7b-reward,3,191.984375,13.706562042236328,1
peiyi9979/math-shepherd-mistral-7b-prm,3,191.984375,13.244640469551086,1
ai21labs/Jamba-tiny-reward-dev,3,191.984375,0.5311038494110107,1
jason9693/Qwen2.5-1.5B-apeach,3,191.984375,2.87539541721344,1
cross-encoder/ms-marco-MiniLM-L-6-v2,3,191.984375,0.042310476303100586,1
cross-encoder/quora-roberta-base,3,191.984375,0.23217441141605377,1
BAAI/bge-reranker-v2-m3,3,191.984375,1.0575866848230362,1
rhymes-ai/Aria,3,191.984375,1.0575866848230362,check out dependancy
Salesforce/blip2-opt-2.7b,3,191.984375,7.215030670166016,1
Salesforce/blip2-opt-6.7b,3,191.984375,14.824633598327637,1
facebook/chameleon-7b,3,191.984375,14.824633598327637,check out dependancy
deepseek-ai/deepseek-vl2-tiny,3,191.984375,14.824633598327637,check out dependancy
deepseek-ai/deepseek-vl2-small,3,191.984375,14.824633598327637,check out dependancy
deepseek-ai/deepseek-vl2,3,191.984375,14.824633598327637,check out dependancy
THUDM/glm-4v-9b,3,191.984375,17.14815428853035,1
h2oai/h2ovl-mississippi-800m,3,191.984375,17.14815428853035,check out dependancy
h2oai/h2ovl-mississippi-2b,3,191.984375,17.14815428853035,check out dependancy
HuggingFaceM4/Idefics3-8B-Llama3,3,191.984375,14.783329576253891,1
OpenGVLab/InternVL2_5-4B,3,191.984375,14.783329576253891,check out dependancy
OpenGVLab/Mono-InternVL-2B,3,191.984375,14.783329576253891,check out dependancy
OpenGVLab/InternVL2-4B,3,191.984375,14.783329576253891,check out dependancy
llava-hf/llava-1.5-7b-hf,3,191.984375,14.783329576253891,check out dependancy
TIGER-Lab/Mantis-8B-siglip-llama3,3,191.984375,14.783329576253891,check out dependancy
llava-hf/llava-v1.6-mistral-7b-hf,3,191.984375,14.783329576253891,check out dependancy
llava-hf/llava-v1.6-vicuna-7b-hf,3,191.984375,14.783329576253891,check out dependancy
llava-hf/LLaVA-NeXT-Video-7B-hf,3,191.984375,14.783329576253891,check out dependancy
llava-hf/llava-onevision-qwen2-7b-ov-hf,3,191.984375,14.783329576253891,check out dependancy
llava-hf/llava-onevision-qwen2-0.5b-ov-hf,3,191.984375,14.783329576253891,check out dependancy
openbmb/MiniCPM-V-2,3,191.984375,14.783329576253891,check out dependancy
openbmb/MiniCPM-Llama3-V-2_5,3,191.984375,15.93896159529686,1
openbmb/MiniCPM-V-2_6,3,191.984375,15.93896159529686,check out dependancy
meta-llama/Llama-3.2-11B-Vision,3,191.984375,15.93896159529686,check out dependancy
allenai/Molmo-7B-D-0924,3,191.984375,14.940323829650879,1
nvidia/NVLM-D-72B,3,191.984375,14.940323829650879,check out dependancy
google/paligemma-3b-pt-224,3,191.984375,14.940323829650879,check out dependancy
google/paligemma-3b-mix-224,3,191.984375,14.940323829650879,check out dependancy
google/paligemma2-3b-ft-docci-448,3,191.984375,14.940323829650879,check out dependancy
google-bert/bert-large-cased,3,191.984375,0.6213436126708984,1
google-bert/bert-large-uncased,3,191.984375,0.6242542266845703,1
google-bert/bert-base-uncased,3,191.984375,0.20393037796020508,1
google-bert/bert-base-cased,3,191.984375,0.20174741744995117,1
microsoft/Phi-3-vision-128k-instruct,3,191.984375,7.723686460405588,1
microsoft/Phi-3.5-vision-instruct,3,191.984375,7.723686460405588,1
mistralai/Pixtral-12B-2409,3,191.984375,7.723686460405588,check out dependancy
mistral-community/pixtral-12b,3,191.984375,7.723686460405588,check out dependancy
Qwen/Qwen-VL,3,191.984375,7.723686460405588,check out dependancy
Qwen/Qwen-VL-Chat,3,191.984375,7.723686460405588,check out dependancy
Qwen/Qwen2-Audio-7B-Instruct,3,191.984375,7.723686460405588,check out dependancy
Qwen/Qwen2-VL-7B-Instruct,3,191.984375,13.170057892799377,1
fixie-ai/ultravox-v0_3,3,191.984375,15.184249997138977,1
royokong/e5-v,3,191.984375,15.184249997138977,check out dependancy
TIGER-Lab/VLM2Vec-Full,3,191.984375,7.723686460405588,1
MrLight/dse-qwen2-2b-mrl-v1,3,191.984375,2.87539541721344,1
albert/albert-base-v1,3,191.984375,0.021766185760498047,1
albert/albert-base-v2,3,191.984375,0.021766185760498047,1
albert/albert-xlarge-v2,3,191.984375,0.10938739776611328,1
